Format,Filename extension,Created by,Introduced in,Based on,Compression,Integrity check,Recovery record,Encryption supported,Unicode filenames,Modification date resolution,Pre-processing,License
Archive (ar),.a  .ar,CSRG,1971,Original,[empty],[empty],[empty],[empty],[empty],1 s,[empty],[empty]
cpio,.cpio,Bell Labs,1983 Unix System V,[empty],[empty],, select formats only,[empty],[empty],[empty],1 s,[empty],[empty]
Shell Archive (shar and makeself),.shar  .run,James Gosling  Alan Hewett,1994 4.4BSD,Original,[empty],, commonly MD5,[empty],[empty],[empty],arbitrary (typically 1 s),[empty],GPL (shar 4.x)}}
Tape Archive (tar),.tar,Bell Labs,1975 Version 6 Unix,[empty],[empty],, metadata only. Full integrity providable by filters such as gzip.,[empty],[empty],[empty],1 s,[empty],[empty]
Extended TAR format (pax),.tar,OpenGroup,2001,Sun proposal + TAR,[empty],metadata,[empty],[empty],[empty],arbitrary (typically 1 ns),[empty],[empty]
BagIt,–,The Library of Congress,2007,file system,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
7z,.7z,Igor Pavlov,2000,LZMA  LZMA2  Bzip2  PPMd  DEFLATE,[empty],, CRC32,[empty],, AES-256,[empty],100 ns<ref>https://sourceforge.net/p/sevenzip/discussion/45797/thread/3964f1db/#cbcb/7556</ref>,[empty],[empty]
ACE,.ace,Marcel Lemke,1998<ref>http://www.hugi.scene.org/online/coding/hugi%2012%20-%20coace.htm</ref>,LZ77,[empty],[empty],[empty],, Blowfish,[empty],2s,[empty],[empty]
AFA,.afa,Vicente Sánchez-Alarcos,2009,Original,[empty],[empty],[empty],, AES and CAST,[empty],[empty],[empty],[empty]
ARC,.arc,Thom Henderson (SEA),1985,[empty],[empty],[empty],[empty],[empty],[empty],2s,[empty],[empty]
ARJ,.arj,Robert Jung,1991,AR001 and AR002,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
B1,.b1,Catalina Group Ltd,2011,LZMA,[empty],[empty],[empty],, AES,[empty],[empty],[empty],[empty]
Cabinet,.cab,Microsoft,1992 Windows 3.1,DEFLATE,[empty],PKCS7 Authenticode signature,[empty],(with SDK),[empty],2 s,[empty],[empty]
Compact File Set,.cfs,Joe Lowe (Pismo Technic Inc.),2008,ZIP/LZMA,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Compact Pro,.cpt,Bill Goodman,1990 (as "Compactor"),Original,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Disk Archive (DAR),.dar,Denis Corbin,2002,Original,[empty],[empty],[empty],[empty],[empty],1 µs,[empty],[empty]
DGCA,.dgc,Shin-ichi Tsuruta,2001,GCA,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FreeArc,.arc,Bulat Ziganshin,2006,LZMA  PPMd  TTA,[empty],[empty],[empty],, AES  Blowfish  Twofish and Serpent,[empty],[empty],[empty],[empty]
LHA (also LZH),.lzh  .lha,Haruyasu Yoshizaki,1988,Frozen,[empty],Only on recent LHA releases,[empty],[empty],[empty],1–2 s,[empty],[empty]
LZX,.lzx,Jonathan Forbes and Tomi Poutanen,1995,LZ77,[empty],Only on recent LZX releases,[empty],[empty],[empty],[empty],[empty],[empty]
ISO image,.iso  .img  .ima,ISO 9660,1988,High Sierra Format,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SparkFS,.arc,David Pilling,1989,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
WinMount format,.mou,?,2007,?,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Macintosh Disk Image,.dmg,Apple Computer,2001 Mac OS X,Original,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Partition Image (PartImage),.partimg,François Dupoux and Franck Ladurelle,2000,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
