Software,Web-based,Hosted On-Premises,SaaS,License,Programming language
2-plan,<ref name="PMI Italy" />,[empty],[empty],Proprietary  Open source<ref name="2-plan license" />,Java and PHP
24SevenOffice,[empty],[empty],[empty],[empty],[empty]
Actionspace,[empty],[empty],[empty],[empty],[empty]
Apache Allura,[empty],[empty],[empty],[empty],Python
Apache OFBiz,[empty],[empty],[empty],[empty],Java  XML  FreeMarker  Groovy  JavaScript
Apache Bloodhound,[empty],[empty],[empty],[empty],Python
Asana,[empty],[empty],[empty],[empty],[empty]
Assembla,[empty],[empty],[empty],[empty],[empty]
Axosoft,[empty],[empty],[empty],[empty],[empty]
Basecamp,<ref name="Teambox_RWW" />,<ref></ref>,[empty],[empty],Ruby
Calligra Plan,[empty],[empty],[empty],[empty],C++ and Java
CEITON,[empty],[empty],[empty],[empty],ASP.NET  JavaScript
Clarizen,<ref name="pcworld" />,[empty],<ref name="pcworld" />,[empty],[empty]
Collabtive,[empty],[empty],[empty],Open source (core only),PHP
Compuware Changepoint,[empty],[empty],[empty],[empty],[empty]
ConceptDraw Project,[empty],[empty],[empty],[empty],[empty]
ConceptDraw PLAN,[empty],[empty],[empty],[empty],PHP and Java
Concerto Project Management,[empty],[empty],[empty],[empty],[empty]
Copper Project,[empty],[empty],[empty],[empty],[empty]
dotProject,[empty],[empty],[empty],[empty],PHP
DynaRoad,[empty],[empty],[empty],[empty],[empty]
Easy projects,<ref name="VentureBeatEP" />,<ref name="VentureBeatEP" />,<ref name="VentureBeatEP" />,[empty],ASP.NET
Eclipse PPM software,[empty],[empty],[empty],[empty],[empty]
Endeavour Software Project Management,[empty],[empty],[empty],[empty],Java
eGroupWare,[empty],[empty],[empty],[empty],PHP
enQuire,[empty],[empty],[empty],[empty],Java
FastTrack Schedule,[empty],[empty],[empty],[empty],[empty]
Feng Office Community Edition,[empty],[empty],[empty],[empty],PHP
FinancialForce.com,[empty],[empty],[empty],[empty],[empty]
FogBugz,[empty],[empty],[empty],[empty],ASP.NET
Fossil-scm,<ref name="FossilOnWeb" />,<ref name="FossilOnPremises" />,<ref name="FossilSaaS" />,[empty],SQLite and C
Freedcamp,[empty],[empty],[empty],[empty],[empty]
