IDE,Developer,Latest stable release,Platform,License
Decoda,Unknown Worlds Entertainment,116 / October 25  2011,Windows,yes|GPL[33]
SlickEdit,SlickEdit,October 2016,Windows  Linux  macOS  AIX  HPUX  Solaris  Solaris SPARC,Proprietary
ZeroBrane Studio,Paul Kulchenko  ZeroBrane LLC,180 / October 7  2018,Windows  macOS/Mac  Linux,yes|MIT License
