Distribution,Founder,Maintainer,Initial release year,Current stable version,Security updates (years),Release date,System distribution commitment,Forked from,Target audience,Cost,Status
Alpine Linux,Alpine Linux Team,Alpine Linux Team,[empty],3.10<ref></ref>,[empty],[empty],[empty],LEAF Project,security  lightweight  general,[empty],[empty]
ALT Linux,ALT Linux Team,ALT Linux Team  ALT Linux LLC,[empty],8.2<ref></ref>,[empty],[empty],[empty],Mandrake Linux,general  school,[empty],[empty]
antiX,Anticapitalista,Anticapitalista,[empty],17.4.1<ref></ref>,[empty],[empty],[empty],Debian  MEPIS,old computers,[empty],[empty]
ArchBang,Willensky Aristide,Stan McLaren,2011,Rolling,Rolling,[empty],[empty],Arch Linux (UKM Edition),general,[empty],[empty]
Arch Linux,Judd Vinet,dev team,[empty],Rolling,Rolling,Rolling,[empty],Independent  inspired from CRUX,general,[empty],[empty]
BLAG,Brixton Linux Action Group,Brixton Linux Action Group,[empty],140k,[empty],[empty],[empty],Fedora,desktop,[empty],[empty]
Bodhi Linux,Bodhi Linux Team,Bodhi Linux Team,[empty],5.0.0<ref></ref>,[empty],[empty],[empty],Debian  Ubuntu,desktop  lightweight,[empty],[empty]
Canaima,CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community,CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community,[empty],6.0<ref></ref>,[empty],[empty],[empty],Debian  Ubuntu,Government of Venezuela,[empty],[empty]
CentOS,CentOS Project,CentOS Project,[empty],7.7-1909,10 years<ref></ref>,[empty],[empty],Red Hat Enterprise Linux (RHEL),server  workstation,[empty],[empty]
Chakra,Jan Mette and Arch Linux KDEmod developers,The Chakra Project Team,[empty],Rolling,Rolling,[empty],[empty],Arch Linux<ref></ref>,desktop,[empty],[empty]
Chrome OS,Sundar Pichai,Google,2009,75.0.3770.129<ref></ref>,6.5 years<ref></ref>,2019-07-09,[empty],Chromium OS,web applications,[empty],[empty]
