IDE,Developer,Latest stable release,Platform,License
Aptana Studio with integrated RadRails plugin (Eclipse),Aptana  Inc,350 / December 27  2013,Windows  Linux  macOS  FreeBSD  JVM  Solaris,yes|GPL  proprietary
Eclipse DLTK Ruby Plugin,Eclipse Foundation,500 / June 6  2013,x86,yes|EPL
eric,Detlev Offenbach,614 / April 9  2016,Crossplatform,yes|GPLv3 "or later"
Komodo IDE / Edit,ActiveState,901 / April 19  2015,Crossplatform,proprietary
NetBeans,Thomas Enebo (JRuby colead),90 / Start date and age|2018|07|29[41],Crossplatform,yes|CDDL and GPL
RubyMine (IntelliJ IDEA),JetBrains,201835 (build 183591216) / Feb 27  2019[42],Windows  Linux  macOS  FreeBSD  OpenBSD  Solaris,proprietary
SlickEdit,SlickEdit,October 2016,Windows  Linux  macOS  AIX  Solaris  HPUX,Proprietary
